id,text
d_1_s1,The Order of the Court was as follows:
d_1_s2,"We have heard learned counsel for the petitioner as well as counsel for the, State of West Bengal."
d_1_s3,"In our opinion, the detention of the, detenu suffers from great infirmity as pointed out by this Court in Sk."
d_1_s4,"Abdul karim and others vs The State of West Bengal 1969 Indlaw SC 262 (Writ Petition no. 327 of 1968 decided on January 31, 1969)."
d_1_s5,The petitioner is ordered to be released forthwith.
d_1_s6,We shall give our reasons for the release later.
d_1_s7,"Ray, J."
d_1_s8,The petitioner made an application article 32 of the Constitution requiring the respondent to show cause as to why the petitioner should not be released.
d_1_s9,"At the conclusion of the hearing of this petition on 15 October, 1969 we directed the release of the petitioner and stated that the reasons would be given later on."
d_1_s10,"We are stating our reasons for the order. 'On 5 June, 1969 the District Magistrate, 24 Parganas, West Bengal made an order section 3(2) of the Preventive Detention Act, 1950 (hereinafter called the Act) for the detention of the petitioner."
d_1_s11,"On 7 June, 1969 the petitioner was arrested and on the same day grounds of detention were served on the petitioner."
d_1_s12,"On 9 June, 1969 information was given to the State Government."
d_1_s13,"On 14 June, 1969 the Governor was pleased to approve the order of detention and on the same day the Governor sent the report to the Central Government section 3(4) of the Act together with the grounds of detention."
d_1_s14,"On 23 June, 1969 the petitioner made a representation to the State Government."
d_1_s15,"On 1 July, 1969 the State Government placed the case of the petitioner before the Advisory Board section 9 of the Act together with the said representation."
d_1_s16,"On 13 August, 1969, the Advisory Board after consideration of the materials placed before it was of the opinion that there was sufficient cause for the detention of the petitioner."
d_1_s17,"On 19 August, 1969 the State Government is alleged to have rejected the petitioner's representation."
d_1_s18,"By an order dated 26 August, 1969 the Governor was pleased to confirm the order of detention of the petitioner."
d_1_s19,"The only contention on behalf of the petitioner was that though the petitioner made the representation on 23 June, 1969 the Government did not consider the said representation with reasonable and proper expedition."
d_1_s20,"On behalf of the State of West Bengal it was contended first that the matter was referred to the Advisory Board along with the petitioner's representation and the State Government considered the report of the Advisory Board, and, secondly, the affidavit of Rathindra Nath Sen Gupta affirmed on 19 September, 1969 will show that enquiries were made after the petitioner had made the representation and the Government therefore considered the representation."
d_1_s21,The affidavit of Rathindra Nath.
d_1_s22,Sen Gupta is of little value.
d_1_s23,"The deponent stated first that he caused further enquiries to be made through the Superintendent, I Railway Police after he had received the representation of the petitioner from the State Government, secondly, that the Superintendent."
d_1_s24,"Railway Police took a little time to submit a report, thirdly, the deponent after being satisfied about anti social activities of the petitioner informed the State Government on 12 August, 1969 to the effect that he did not recommend the release of the petitioner, and, fourthly, that the State Government on 19 August, 1969 rejected the petitioner's representation."
d_1_s25,"There is no affidavit by the Superintendent of Po1ice, Sealdah who is alleged to have made further enquiries."
d_1_s26,"One will look in vain into the affidavit of the deponent to find out as to when the deponent entrusted the said enquiry to the Superintendent, Railway Police and further as to what time was taken for enquiry and report."
d_1_s27,The Court is entitled to know the time and the steps taken along with the nature of the enquiry.
d_1_s28,The importance of the matter lies in the fact that it is a case of preventive detention and the personal liberty of a citizen is under consideration of the State Government.
d_1_s29,The State.
d_1_s30,"Government is, therefore, bound to give the utmost information to this Court."
d_1_s31,The Preventive Detention Act confers powers on the Central Government or the State Government to make an order for detention of a person.
d_1_s32,The order of detention can be passed by the District Magistrate or the Additional District Magistrate or the Commissioner of Police or the Collector.
